curso;disciplina;grau_exig;modalidade;media_notas_ant;num_disc_evadidas;mensal_atraso;sexo;idade;dist;sem;tamanho_turma;sit
Gestão da Produção;Matemática financeira;2;1;7.9;0;0;M;27;3;6;42;0
Administração;Comportamento do consumidor;1;2;7.9;0;0;F;18;3;7;50;
Administração;Gestão de Projetos;1;1;7.9;1;0;M;32;1;7;42;
Engenharia de Produção;Gestão de Projetos;1;1;7.9;0;0;F;23;3;7;24;
Administração;Gestão de Projetos;1;2;7.9;1;0;F;32;1;7;42;
Gestão da Produção;Métodos Estatísticos;3;2;7.9;1;2;M;23;1;7;35;
Gestão da Produção;Métodos Estatísticos;3;2;7.9;0;2;F;23;1;7;40;
Administração;Gestão de Projetos;1;2;8,0;0;0;F;18;2;1;42;0
Administração;Estratégias de marketing;1;1;8,0;1;0;M;22;1;2;24;0
Administração;Matemática financeira;2;1;8,0;0;0;M;27;1;2;24;0
Administração;Métodos Estatísticos;3;2;8,0;0;2;M;23;1;2;30;0
Engenharia de Produção;Cálculo A;3;1;8,0;1;0;M;19;2;3;20;1
Administração;Comportamento do consumidor;1;1;8,0;0;0;F;22;1;3;43;0
Administração;Matemática financeira;2;1;8,0;3;0;F;21;2;3;30;1
Engenharia de Produção;Gestão de Projetos;1;1;8,0;0;3;F;19;1;4;40;0
Gestão da Produção;Gestão de Projetos;1;2;8,0;2;2;F;24;3;4;40;1
Gestão da Produção;Métodos Estatísticos;3;1;8,0;0;4;F;23;3;4;20;0
Administração;Cálculo A;3;1;8,0;0;2;M;22;3;5;30;0
Administração;Cálculo A;3;1;8,0;1;2;F;25;1;6;35;1
Administração;Planejamento contábil;2;1;8,0;0;1;F;21;3;6;42;1
Engenharia de Produção;Métodos Estatísticos;3;1;8,0;1;0;F;27;1;7;30;
Gestão da Produção;Métodos Estatísticos;3;1;8,0;0;0;F;23;2;7;41;
Administração;Planejamento contábil;2;1;8,0;0;0;M;21;1;7;41;
Gestão da Produção;Gestão de Projetos;1;1;8.2;0;5;M;24;3;1;41;0
Administração;Planejamento contábil;2;1;8.2;0;0;F;22;1;1;30;0
Administração;Cálculo A;3;1;8.2;0;0;F;19;2;3;35;0
Administração;Gestão de Projetos;1;1;8.2;0;0;M;20;1;3;40;0
Administração;Matemática financeira;2;1;8.2;2;0;F;18;3;3;42;0
Administração;Métodos Estatísticos;3;2;8.2;1;0;M;21;1;3;28;1
Engenharia de Produção;Cálculo B;3;1;8.2;0;0;F;25;1;4;20;0
Administração;Estratégias de marketing;1;2;8.2;0;0;M;33;1;4;50;0
Gestão da Produção;Gestão de Projetos;1;1;8.2;1;0;F;19;1;4;37;1
Administração;Matemática financeira;2;1;8.2;1;0;M;18;1;4;30;1
Engenharia de Produção;Gestão de Projetos;1;1;8.2;0;0;M;25;2;5;43;0
Administração;Gestão de Projetos;1;2;8.2;0;3;F;20;2;5;35;1
Administração;Comportamento do consumidor;1;2;8.2;0;1;F;26;2;6;23;0
Administração;Estratégias de marketing;1;2;8.4;1;0;F;19;2;3;35;0
Administração;Matemática financeira;2;1;8.4;0;0;F;27;1;5;43;0
Administração;Métodos Estatísticos;3;1;8.5;0;0;M;29;1;1;30;0
Administração;Estratégias de marketing;1;2;8.5;0;0;M;18;1;2;30;0
Engenharia de Produção;Métodos Estatísticos;3;1;8.5;0;0;M;28;1;2;33;0
Administração;Cálculo A;3;1;8.5;0;0;M;25;1;3;42;0
Administração;Comportamento do consumidor;1;1;8.5;0;0;F;27;2;3;43;0
Administração;Gestão de Projetos;1;1;8.5;0;0;M;28;1;3;41;0
Gestão da Produção;Métodos Estatísticos;3;2;8.5;4;0;M;24;1;3;40;1
Administração;Planejamento contábil;2;1;8.5;4;0;F;24;1;3;42;0
Engenharia de Produção;Cálculo A;3;1;8.5;0;0;M;25;1;4;24;0
Gestão da Produção;Gestão de Projetos;1;2;8.5;1;6;M;22;3;4;41;1
Gestão da Produção;Métodos Estatísticos;3;1;8.5;0;0;F;26;1;4;24;0
Administração;Cálculo A;3;1;8.5;1;1;F;22;2;5;40;1
Administração;Estratégias de marketing;1;1;8.5;0;2;M;26;3;5;43;0
Administração;Matemática financeira;2;1;8.5;1;1;F;22;1;7;33;
Administração;Métodos Estatísticos;3;1;8.5;0;0;F;24;1;7;35;
Administração;Estratégias de marketing;1;2;8.6;2;0;M;23;1;4;42;0
Administração;Matemática financeira;2;1;8.7;0;3;M;25;1;5;33;0
Administração;Matemática financeira;2;1;8.9;0;0;F;20;1;5;41;0
Administração;Estratégias de marketing;1;1;9,0;0;0;F;30;1;1;20;0
Gestão da Produção;Métodos Estatísticos;3;2;9,0;0;0;M;20;1;1;50;1
Administração;Matemática financeira;2;1;9,0;0;0;M;24;3;2;40;0
Administração;Planejamento contábil;2;1;9,0;0;1;F;23;2;2;30;0
Administração;Cálculo A;3;1;9,0;0;0;F;25;1;3;30;0
Gestão da Produção;Gestão de Projetos;1;1;9,0;0;0;M;20;3;3;41;0
Gestão da Produção;Gestão de Projetos;1;2;9,0;0;0;M;18;1;3;20;0
Administração;Métodos Estatísticos;3;1;9,0;1;0;M;23;1;3;42;1
Administração;Métodos Estatísticos;3;1;9,0;0;0;M;23;1;3;35;0
Engenharia de Produção;Métodos Estatísticos;3;1;9,0;0;0;M;21;2;3;24;0
Engenharia de Produção;Cálculo A;3;1;9,0;0;0;M;25;2;4;42;0
Gestão da Produção;Métodos Estatísticos;3;1;9,0;0;0;M;33;1;4;40;0
Administração;Comportamento do consumidor;1;1;9,0;0;2;M;23;1;5;20;0
Administração;Planejamento contábil;2;1;9,0;0;0;M;20;1;5;41;0
